location,commodity,acres,yield,price,unit,price_unit
16013,"HAYLAGE, (EXCL ALFALFA), NON-IRRIGATED",0,1.18,27.300,TONS / ACRE,$ / TON
06097,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",1599,1.55,179.50,TONS / ACRE,$ / TON
16045,"OATS, IRRIGATED",105,91.01,2.80,BU / ACRE,$ / BU
06113,"HAY, ALFALFA, NON-IRRIGATED",1024,3.00,189.00,TONS / ACRE,$ / TON
16049,"WHEAT, WINTER",58256,72.48,6.29,BU / ACRE,$ / BU
53061,"BEANS, DRY EDIBLE",3,,0.346,LB / ACRE,$ / LB
16083,"CORN, GRAIN, IRRIGATED",20828,191.15,5.24,BU / ACRE,$ / BU
41011,"HAYLAGE, (EXCL ALFALFA), NON-IRRIGATED",1318,6.75,37.276,TONS / ACRE,$ / TON
41009,"HAYLAGE, ALFALFA, IRRIGATED",225,2.87,38.000,TONS / ACRE,$ / TON
53077,POTATOES,1691,334.67,7.45,CWT / ACRE,$ / CWT
16075,"HAYLAGE, ALFALFA",2666,10.21,34.876,TONS / ACRE,$ / TON
53041,BARLEY,693,70.06,4.11,BU / ACRE,$ / BU
16037,"HAY, ALFALFA, IRRIGATED",21646,2.90,174.38,TONS / ACRE,$ / TON
30049,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",621,1.24,109.38,TONS / ACRE,$ / TON
53037,"HAY, ALFALFA, IRRIGATED",8218,4.17,186.25,TONS / ACRE,$ / TON
41001,"HAYLAGE, (EXCL ALFALFA)",1347,2.37,37.276,TONS / ACRE,$ / TON
16017,"HAYLAGE, (EXCL ALFALFA)",1061,5.13,27.300,TONS / ACRE,$ / TON
06097,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",520,3.25,179.50,TONS / ACRE,$ / TON
30001,"HAY, ALFALFA, NON-IRRIGATED",4570,1.82,110.50,TONS / ACRE,$ / TON
16039,"HAY, ALFALFA, IRRIGATED",24477,5.64,174.38,TONS / ACRE,$ / TON
16017,OATS,206,56.67,2.80,BU / ACRE,$ / BU
16087,"CORN, SILAGE, IRRIGATED",595,27.03,5.240,TONS / ACRE,$ / TON
41027,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",77,1.88,189.38,TONS / ACRE,$ / TON
30099,"BARLEY, IRRIGATED",49620,85.37,5.28,BU / ACRE,$ / BU
53043,"WHEAT, WINTER, NON-IRRIGATED",213755,60.96,6.49,BU / ACRE,$ / BU
16037,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",1345,1.79,171.63,TONS / ACRE,$ / TON
41063,"HAYLAGE, ALFALFA",443,5.30,38.000,TONS / ACRE,$ / TON
06113,"HAYLAGE, (EXCL ALFALFA)",340,5.01,29.626,TONS / ACRE,$ / TON
53057,POTATOES,12806,386.00,7.45,CWT / ACRE,$ / CWT
16001,"HAYLAGE, ALFALFA, NON-IRRIGATED",0,3.06,34.876,TONS / ACRE,$ / TON
06103,"CORN, GRAIN, NON-IRRIGATED",0,223.30,5.19,BU / ACRE,$ / BU
06103,OATS,259,76.67,3.57,BU / ACRE,$ / BU
06113,"CORN, GRAIN, NON-IRRIGATED",630,186.99,5.19,BU / ACRE,$ / BU
06077,"BARLEY, IRRIGATED",716,66.61,5.09,BU / ACRE,$ / BU
41071,"HAYLAGE, (EXCL ALFALFA), IRRIGATED",373,5.74,37.276,TONS / ACRE,$ / TON
53017,"HAYLAGE, ALFALFA, IRRIGATED",3,1.00,37.250,TONS / ACRE,$ / TON
06039,"WHEAT, WINTER, NON-IRRIGATED",272,60.48,5.77,BU / ACRE,$ / BU
16083,"OATS, IRRIGATED",83,93.35,2.80,BU / ACRE,$ / BU
06017,POTATOES,3,408.50,13.44,CWT / ACRE,$ / CWT
53071,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",0,1.45,190.25,TONS / ACRE,$ / TON
06105,"HAYLAGE, (EXCL ALFALFA), NON-IRRIGATED",0,0.59,29.626,TONS / ACRE,$ / TON
16053,"BARLEY, NON-IRRIGATED",729,24.45,5.33,BU / ACRE,$ / BU
06045,"HAY, ALFALFA, IRRIGATED",379,5.63,189.00,TONS / ACRE,$ / TON
41051,POTATOES,690,367.60,8.11,CWT / ACRE,$ / CWT
53039,"HAY, ALFALFA, NON-IRRIGATED",16876,0.94,186.25,TONS / ACRE,$ / TON
06047,"HAYLAGE, ALFALFA, NON-IRRIGATED",654,5.10,37.800,TONS / ACRE,$ / TON
16063,"HAYLAGE, ALFALFA, NON-IRRIGATED",0,3.40,34.876,TONS / ACRE,$ / TON
16075,"HAY, ALFALFA, IRRIGATED",15151,4.59,174.38,TONS / ACRE,$ / TON
16075,"CORN, SILAGE, IRRIGATED",7147,27.03,5.240,TONS / ACRE,$ / TON
41047,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",7464,2.32,189.38,TONS / ACRE,$ / TON
30029,"BARLEY, IRRIGATED",1263,76.36,5.28,BU / ACRE,$ / BU
06007,"WHEAT, WINTER, IRRIGATED",752,86.50,5.77,BU / ACRE,$ / BU
41047,"WHEAT, WINTER, IRRIGATED",2771,136.50,6.72,BU / ACRE,$ / BU
53037,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",33458,4.81,190.25,TONS / ACRE,$ / TON
06007,"HAYLAGE, (EXCL ALFALFA), NON-IRRIGATED",0,7.45,29.626,TONS / ACRE,$ / TON
53021,POTATOES,30853,644.25,7.45,CWT / ACRE,$ / CWT
41043,"HAYLAGE, ALFALFA, NON-IRRIGATED",58,3.13,38.000,TONS / ACRE,$ / TON
53047,"HAY, ALFALFA, NON-IRRIGATED",4827,1.09,186.25,TONS / ACRE,$ / TON
06039,"OATS, NON-IRRIGATED",314,70.78,3.57,BU / ACRE,$ / BU
16017,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",11269,1.33,171.63,TONS / ACRE,$ / TON
53007,"CORN, GRAIN, IRRIGATED",8,210.00,5.38,BU / ACRE,$ / BU
53063,OATS,1252,50.44,2.98,BU / ACRE,$ / BU
30063,"HAYLAGE, ALFALFA, IRRIGATED",221,2.74,22.100,TONS / ACRE,$ / TON
41015,POTATOES,1,561.25,8.11,CWT / ACRE,$ / CWT
06095,"BEANS, DRY EDIBLE, NON-IRRIGATED",0,2142.67,0.549,LB / ACRE,$ / LB
41037,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",1537,1.65,189.38,TONS / ACRE,$ / TON
16001,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",53,1.68,171.63,TONS / ACRE,$ / TON
16073,"SUGARBEETS, NON-IRRIGATED",0,36.93,48.40,TONS / ACRE,$ / TON
30089,"HAY, ALFALFA, IRRIGATED",10049,2.74,110.50,TONS / ACRE,$ / TON
53021,"BEANS, DRY EDIBLE, IRRIGATED",3233,1668.00,0.346,LB / ACRE,$ / LB
06099,"HAY, ALFALFA, NON-IRRIGATED",88,3.14,189.00,TONS / ACRE,$ / TON
53001,"BARLEY, NON-IRRIGATED",2274,41.77,4.11,BU / ACRE,$ / BU
53067,"HAY, ALFALFA",480,2.26,186.25,TONS / ACRE,$ / TON
41067,"CORN, SILAGE, IRRIGATED",1689,23.28,5.300,TONS / ACRE,$ / TON
06061,POTATOES,3,408.50,13.44,CWT / ACRE,$ / CWT
41021,"HAY, ALFALFA, IRRIGATED",1045,4.18,190.00,TONS / ACRE,$ / TON
06101,OATS,284,64.14,3.57,BU / ACRE,$ / BU
53001,"CORN, SILAGE, IRRIGATED",2216,22.41,5.380,TONS / ACRE,$ / TON
53013,BARLEY,4866,72.65,4.11,BU / ACRE,$ / BU
53065,OATS,1027,42.87,2.98,BU / ACRE,$ / BU
16069,"HAY, ALFALFA, NON-IRRIGATED",6333,21.70,174.38,TONS / ACRE,$ / TON
30081,"CORN, GRAIN, IRRIGATED",133,97.62,5.06,BU / ACRE,$ / BU
41053,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",878,2.50,189.38,TONS / ACRE,$ / TON
41009,POTATOES,1,367.60,8.11,CWT / ACRE,$ / CWT
16001,"WHEAT, WINTER, NON-IRRIGATED",198,27.19,6.29,BU / ACRE,$ / BU
53017,"HAYLAGE, ALFALFA, NON-IRRIGATED",0,0.60,37.250,TONS / ACRE,$ / TON
41071,"HAY, ALFALFA, NON-IRRIGATED",1101,2.90,190.00,TONS / ACRE,$ / TON
41047,"HAYLAGE, (EXCL ALFALFA), IRRIGATED",1880,9.32,37.276,TONS / ACRE,$ / TON
16053,"HAY, ALFALFA, IRRIGATED",36446,5.56,174.38,TONS / ACRE,$ / TON
16057,"HAY, ALFALFA, IRRIGATED",326,3.61,174.38,TONS / ACRE,$ / TON
06033,"CORN, SILAGE, IRRIGATED",10,0.50,5.190,TONS / ACRE,$ / TON
16001,POTATOES,221,523.00,7.20,CWT / ACRE,$ / CWT
53075,"BARLEY, NON-IRRIGATED",83563,72.69,4.11,BU / ACRE,$ / BU
16037,"BARLEY, IRRIGATED",912,87.14,5.33,BU / ACRE,$ / BU
53047,"HAY, ALFALFA, IRRIGATED",13611,3.87,186.25,TONS / ACRE,$ / TON
16017,"HAYLAGE, ALFALFA",200,1.36,34.876,TONS / ACRE,$ / TON
06099,"OATS, IRRIGATED",4111,109.71,3.57,BU / ACRE,$ / BU
53049,POTATOES,1,380.00,7.45,CWT / ACRE,$ / CWT
16009,POTATOES,3,395.00,7.20,CWT / ACRE,$ / CWT
41025,"HAY, ALFALFA, NON-IRRIGATED",3701,1.98,190.00,TONS / ACRE,$ / TON
16049,"HAYLAGE, (EXCL ALFALFA)",802,3.23,27.300,TONS / ACRE,$ / TON
16031,"CORN, SILAGE, IRRIGATED",23057,27.03,5.240,TONS / ACRE,$ / TON
16039,"BEANS, DRY EDIBLE, IRRIGATED",1815,2355.00,0.326,LB / ACRE,$ / LB
16037,"HAYLAGE, ALFALFA, IRRIGATED",1820,5.00,34.876,TONS / ACRE,$ / TON
06033,"HAY, ALFALFA",164,4.07,189.00,TONS / ACRE,$ / TON
30049,BARLEY,11427,66.82,5.28,BU / ACRE,$ / BU
06077,"OATS, NON-IRRIGATED",480,62.35,3.57,BU / ACRE,$ / BU
53027,"WHEAT, WINTER, NON-IRRIGATED",0,80.30,6.49,BU / ACRE,$ / BU
41051,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",2048,1.47,189.38,TONS / ACRE,$ / TON
06019,"WHEAT, WINTER",36912,88.76,5.77,BU / ACRE,$ / BU
16083,"CORN, SILAGE, IRRIGATED",33885,27.03,5.240,TONS / ACRE,$ / TON
53071,"BARLEY, IRRIGATED",304,86.38,4.11,BU / ACRE,$ / BU
41063,"HAYLAGE, (EXCL ALFALFA), IRRIGATED",548,4.18,37.276,TONS / ACRE,$ / TON
41003,"HAY, ALFALFA",58,4.01,190.00,TONS / ACRE,$ / TON
06077,"WHEAT, WINTER, IRRIGATED",14511,102.06,5.77,BU / ACRE,$ / BU
53011,"WHEAT, WINTER",468,55.21,6.49,BU / ACRE,$ / BU
06077,"CORN, GRAIN, IRRIGATED",49930,186.07,5.19,BU / ACRE,$ / BU
16045,"SUGARBEETS, IRRIGATED",486,34.75,48.40,TONS / ACRE,$ / TON
53049,"HAYLAGE, (EXCL ALFALFA), IRRIGATED",956,9.54,40.426,TONS / ACRE,$ / TON
53027,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",678,3.89,190.25,TONS / ACRE,$ / TON
16055,"OATS, NON-IRRIGATED",0,41.69,2.80,BU / ACRE,$ / BU
16067,"BARLEY, NON-IRRIGATED",146,24.46,5.33,BU / ACRE,$ / BU
53007,"HAY, ALFALFA, IRRIGATED",605,3.22,186.25,TONS / ACRE,$ / TON
41019,BARLEY,62,55.90,4.21,BU / ACRE,$ / BU
06021,"CORN, GRAIN, NON-IRRIGATED",28,211.96,5.19,BU / ACRE,$ / BU
06017,"BEANS, DRY EDIBLE, IRRIGATED",4,2600.00,0.549,LB / ACRE,$ / LB
16063,"OATS, IRRIGATED",246,83.96,2.80,BU / ACRE,$ / BU
06017,"BEANS, DRY EDIBLE, IRRIGATED",4,1970.00,0.549,LB / ACRE,$ / LB
53021,"BARLEY, IRRIGATED",925,107.46,4.11,BU / ACRE,$ / BU
53077,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",3480,3.93,190.25,TONS / ACRE,$ / TON
41051,OATS,31,73.56,3.40,BU / ACRE,$ / BU
06039,"BEANS, DRY EDIBLE, NON-IRRIGATED",0,2402.20,0.549,LB / ACRE,$ / LB
16083,"HAY, ALFALFA, NON-IRRIGATED",900,1.26,174.38,TONS / ACRE,$ / TON
16059,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",5229,1.87,171.63,TONS / ACRE,$ / TON
41069,"HAY, ALFALFA, IRRIGATED",2421,3.08,190.00,TONS / ACRE,$ / TON
41003,OATS,625,62.94,3.40,BU / ACRE,$ / BU
06067,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",2081,2.79,179.50,TONS / ACRE,$ / TON
16063,"SUGARBEETS, NON-IRRIGATED",0,31.13,48.40,TONS / ACRE,$ / TON
41047,"HAYLAGE, ALFALFA, IRRIGATED",473,11.78,38.000,TONS / ACRE,$ / TON
06001,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",990,1.54,179.50,TONS / ACRE,$ / TON
16059,"HAYLAGE, (EXCL ALFALFA), NON-IRRIGATED",100,0.50,27.300,TONS / ACRE,$ / TON
06089,"HAYLAGE, ALFALFA, NON-IRRIGATED",0,2.56,37.800,TONS / ACRE,$ / TON
16027,"SUGARBEETS, NON-IRRIGATED",0,38.24,48.40,TONS / ACRE,$ / TON
06039,BARLEY,614,88.47,5.09,BU / ACRE,$ / BU
06109,"CORN, SILAGE, IRRIGATED",3,5.00,5.190,TONS / ACRE,$ / TON
53053,"CORN, SILAGE",96,11.29,5.380,TONS / ACRE,$ / TON
53051,"HAYLAGE, (EXCL ALFALFA)",96,0.96,40.426,TONS / ACRE,$ / TON
41029,"BARLEY, NON-IRRIGATED",224,53.86,4.21,BU / ACRE,$ / BU
16027,"BARLEY, IRRIGATED",1395,108.24,5.33,BU / ACRE,$ / BU
16067,"BARLEY, IRRIGATED",31986,121.42,5.33,BU / ACRE,$ / BU
16073,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",6502,2.38,171.63,TONS / ACRE,$ / TON
41053,"CORN, SILAGE, IRRIGATED",1680,25.64,5.300,TONS / ACRE,$ / TON
53063,"BARLEY, NON-IRRIGATED",20187,60.99,4.11,BU / ACRE,$ / BU
06063,"HAY, ALFALFA, NON-IRRIGATED",877,1.47,189.00,TONS / ACRE,$ / TON
30081,"OATS, NON-IRRIGATED",0,41.22,3.00,BU / ACRE,$ / BU
41063,"WHEAT, WINTER, IRRIGATED",468,74.18,6.72,BU / ACRE,$ / BU
30089,POTATOES,2,335.40,11.71,CWT / ACRE,$ / CWT
53057,"HAY, ALFALFA",374,3.32,186.25,TONS / ACRE,$ / TON
30063,"HAYLAGE, (EXCL ALFALFA), NON-IRRIGATED",20,2.02,20.676,TONS / ACRE,$ / TON
53027,"WHEAT, WINTER, IRRIGATED",2034,90.00,6.49,BU / ACRE,$ / BU
06101,"HAY, ALFALFA, NON-IRRIGATED",0,2.71,189.00,TONS / ACRE,$ / TON
06067,"HAY, ALFALFA, NON-IRRIGATED",603,3.01,189.00,TONS / ACRE,$ / TON
16055,"WHEAT, WINTER",8674,69.41,6.29,BU / ACRE,$ / BU
41065,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",1325,2.23,189.38,TONS / ACRE,$ / TON
06047,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",2982,4.94,179.50,TONS / ACRE,$ / TON
30053,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",1827,1.02,109.38,TONS / ACRE,$ / TON
16069,POTATOES,2,395.00,7.20,CWT / ACRE,$ / CWT
06023,"HAYLAGE, ALFALFA, NON-IRRIGATED",448,5.92,37.800,TONS / ACRE,$ / TON
53019,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",1164,1.04,190.25,TONS / ACRE,$ / TON
53071,"BARLEY, NON-IRRIGATED",1366,68.80,4.11,BU / ACRE,$ / BU
53021,"CORN, SILAGE, IRRIGATED",9020,26.62,5.380,TONS / ACRE,$ / TON
41037,"HAY, ALFALFA, IRRIGATED",54077,4.07,190.00,TONS / ACRE,$ / TON
41045,"HAYLAGE, ALFALFA, NON-IRRIGATED",1972,4.02,38.000,TONS / ACRE,$ / TON
53007,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",156,4.95,190.25,TONS / ACRE,$ / TON
53073,"HAYLAGE, (EXCL ALFALFA), IRRIGATED",11219,16.20,40.426,TONS / ACRE,$ / TON
41039,LENTILS,94,,0.288,LB / ACRE,$ / LB
06021,"HAY, ALFALFA, IRRIGATED",10654,6.79,189.00,TONS / ACRE,$ / TON
16047,"OATS, NON-IRRIGATED",0,47.42,2.80,BU / ACRE,$ / BU
06057,"HAYLAGE, (EXCL ALFALFA), NON-IRRIGATED",0,1.55,29.626,TONS / ACRE,$ / TON
16087,"HAY, ALFALFA, NON-IRRIGATED",10579,1.14,174.38,TONS / ACRE,$ / TON
16087,"BEANS, DRY EDIBLE, IRRIGATED",1540,2600.00,0.326,LB / ACRE,$ / LB
53033,BARLEY,3,5.00,4.11,BU / ACRE,$ / BU
16047,"HAYLAGE, (EXCL ALFALFA), IRRIGATED",1095,8.57,27.300,TONS / ACRE,$ / TON
53053,"BEANS, DRY EDIBLE",3,,0.346,LB / ACRE,$ / LB
16075,"HAYLAGE, (EXCL ALFALFA), NON-IRRIGATED",0,3.24,27.300,TONS / ACRE,$ / TON
53037,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",86,1.89,190.25,TONS / ACRE,$ / TON
16001,"CORN, SILAGE, IRRIGATED",8032,27.03,5.240,TONS / ACRE,$ / TON
16023,"OATS, IRRIGATED",876,97.95,2.80,BU / ACRE,$ / BU
41071,"CORN, GRAIN, IRRIGATED",116,178.60,5.30,BU / ACRE,$ / BU
30077,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",12896,1.82,109.38,TONS / ACRE,$ / TON
53011,OATS,302,90.87,2.98,BU / ACRE,$ / BU
06103,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",3776,2.64,179.50,TONS / ACRE,$ / TON
06017,"BEANS, DRY EDIBLE, NON-IRRIGATED",0,2152.50,0.549,LB / ACRE,$ / LB
16017,"HAY, ALFALFA, NON-IRRIGATED",2280,1.55,174.38,TONS / ACRE,$ / TON
53047,"OATS, IRRIGATED",7,83.33,2.98,BU / ACRE,$ / BU
16055,"HAY, ALFALFA, IRRIGATED",3406,3.45,174.38,TONS / ACRE,$ / TON
30047,"WHEAT, WINTER, NON-IRRIGATED",1116,38.53,6.39,BU / ACRE,$ / BU
06023,"HAY, ALFALFA, IRRIGATED",93,7.02,189.00,TONS / ACRE,$ / TON
06021,"CORN, GRAIN, IRRIGATED",7236,186.07,5.19,BU / ACRE,$ / BU
16025,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",537,0.57,171.63,TONS / ACRE,$ / TON
53029,"HAYLAGE, (EXCL ALFALFA)",1092,6.65,40.426,TONS / ACRE,$ / TON
30035,"BARLEY, IRRIGATED",10265,43.60,5.28,BU / ACRE,$ / BU
53005,"WHEAT, WINTER",96099,55.53,6.49,BU / ACRE,$ / BU
30099,OATS,227,28.00,3.00,BU / ACRE,$ / BU
41041,"HAYLAGE, (EXCL ALFALFA)",116,2.69,37.276,TONS / ACRE,$ / TON
41041,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",0,23.44,189.38,TONS / ACRE,$ / TON
41031,"HAY, ALFALFA, NON-IRRIGATED",838,2.51,190.00,TONS / ACRE,$ / TON
41059,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",2360,3.23,189.38,TONS / ACRE,$ / TON
53043,"HAYLAGE, (EXCL ALFALFA)",284,8.49,40.426,TONS / ACRE,$ / TON
16053,"SUGARBEETS, NON-IRRIGATED",0,34.27,48.40,TONS / ACRE,$ / TON
16087,"BARLEY, NON-IRRIGATED",204,31.90,5.33,BU / ACRE,$ / BU
30077,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",573,1.20,109.38,TONS / ACRE,$ / TON
41067,"CORN, SILAGE, NON-IRRIGATED",151,13.65,5.300,TONS / ACRE,$ / TON
53043,"BARLEY, IRRIGATED",975,117.01,4.11,BU / ACRE,$ / BU
41053,"WHEAT, WINTER",11415,104.68,6.72,BU / ACRE,$ / BU
16047,"HAY, ALFALFA, IRRIGATED",26163,5.43,174.38,TONS / ACRE,$ / TON
16003,"HAY, ALFALFA, IRRIGATED",4516,3.00,174.38,TONS / ACRE,$ / TON
30081,"CORN, GRAIN, NON-IRRIGATED",0,29.40,5.06,BU / ACRE,$ / BU
53065,"HAY, ALFALFA, IRRIGATED",3660,5.50,186.25,TONS / ACRE,$ / TON
16087,OATS,45,43.68,2.80,BU / ACRE,$ / BU
06049,"BARLEY, NON-IRRIGATED",1443,42.40,5.09,BU / ACRE,$ / BU
06099,"HAYLAGE, ALFALFA",4541,7.02,37.800,TONS / ACRE,$ / TON
16055,"HAYLAGE, (EXCL ALFALFA)",297,1.74,27.300,TONS / ACRE,$ / TON
53043,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",1954,1.63,190.25,TONS / ACRE,$ / TON
53005,"HAYLAGE, (EXCL ALFALFA)",102,2.56,40.426,TONS / ACRE,$ / TON
16039,"WHEAT, WINTER, NON-IRRIGATED",600,24.64,6.29,BU / ACRE,$ / BU
16067,"HAYLAGE, (EXCL ALFALFA), NON-IRRIGATED",0,5.95,27.300,TONS / ACRE,$ / TON
16069,"HAY, ALFALFA, IRRIGATED",388,38.96,174.38,TONS / ACRE,$ / TON
16073,"HAY, ALFALFA, IRRIGATED",45371,5.78,174.38,TONS / ACRE,$ / TON
41067,"SUGARBEETS, IRRIGATED",100,32.70,48.40,TONS / ACRE,$ / TON
06007,"CORN, SILAGE",300,27.20,5.190,TONS / ACRE,$ / TON
30063,BARLEY,358,43.58,5.28,BU / ACRE,$ / BU
30047,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",4345,1.79,109.38,TONS / ACRE,$ / TON
53051,POTATOES,2,427.00,7.45,CWT / ACRE,$ / CWT
41043,"SUGARBEETS, NON-IRRIGATED",0,35.73,48.40,TONS / ACRE,$ / TON
06105,"HAY, ALFALFA, IRRIGATED",66,0.95,189.00,TONS / ACRE,$ / TON
06113,"BARLEY, IRRIGATED",1558,68.10,5.09,BU / ACRE,$ / BU
41035,"HAYLAGE, ALFALFA",1948,,38.000,TONS / ACRE,$ / TON
41037,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",10676,2.03,189.38,TONS / ACRE,$ / TON
41039,BARLEY,19,69.16,4.21,BU / ACRE,$ / BU
41049,"WHEAT, WINTER, NON-IRRIGATED",122675,39.27,6.72,BU / ACRE,$ / BU
16027,"CORN, SILAGE, IRRIGATED",20613,27.03,5.240,TONS / ACRE,$ / TON
30049,"HAYLAGE, ALFALFA, IRRIGATED",143,2.99,22.100,TONS / ACRE,$ / TON
41037,"HAY, ALFALFA, NON-IRRIGATED",1101,2.25,190.00,TONS / ACRE,$ / TON
41063,"HAY, ALFALFA, IRRIGATED",12194,3.99,190.00,TONS / ACRE,$ / TON
41045,"SUGARBEETS, NON-IRRIGATED",0,37.93,48.40,TONS / ACRE,$ / TON
41045,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",10613,2.01,189.38,TONS / ACRE,$ / TON
06035,"WHEAT, WINTER",777,55.35,5.77,BU / ACRE,$ / BU
30029,"HAYLAGE, ALFALFA",88,1.64,22.100,TONS / ACRE,$ / TON
41047,"CORN, GRAIN",340,134.31,5.30,BU / ACRE,$ / BU
53063,"HAYLAGE, (EXCL ALFALFA), NON-IRRIGATED",1247,1.65,40.426,TONS / ACRE,$ / TON
16027,"HAYLAGE, (EXCL ALFALFA), NON-IRRIGATED",0,3.02,27.300,TONS / ACRE,$ / TON
06045,"HAY, ALFALFA, NON-IRRIGATED",192,2.49,189.00,TONS / ACRE,$ / TON
41049,"CORN, SILAGE, NON-IRRIGATED",0,18.50,5.300,TONS / ACRE,$ / TON
53047,"BARLEY, IRRIGATED",43,100.51,4.11,BU / ACRE,$ / BU
53063,"BEANS, DRY EDIBLE",715,1765.00,0.346,LB / ACRE,$ / LB
41009,"HAY, ALFALFA",364,1.39,190.00,TONS / ACRE,$ / TON
06105,POTATOES,2,408.50,13.44,CWT / ACRE,$ / CWT
41047,"BARLEY, NON-IRRIGATED",175,52.28,4.21,BU / ACRE,$ / BU
53063,"HAY, ALFALFA, NON-IRRIGATED",33992,1.72,186.25,TONS / ACRE,$ / TON
41059,"CORN, GRAIN, NON-IRRIGATED",693,99.05,5.30,BU / ACRE,$ / BU
41035,"HAY, ALFALFA, IRRIGATED",42987,4.57,190.00,TONS / ACRE,$ / TON
41049,"CORN, GRAIN, NON-IRRIGATED",1724,111.73,5.30,BU / ACRE,$ / BU
41013,"HAY, ALFALFA, IRRIGATED",12158,4.29,190.00,TONS / ACRE,$ / TON
53051,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",7812,1.47,190.25,TONS / ACRE,$ / TON
06047,"CORN, GRAIN, IRRIGATED",19255,186.07,5.19,BU / ACRE,$ / BU
53041,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",1615,4.67,190.25,TONS / ACRE,$ / TON
41041,POTATOES,5,367.60,8.11,CWT / ACRE,$ / CWT
06047,"CORN, SILAGE, IRRIGATED",88076,26.34,5.190,TONS / ACRE,$ / TON
53073,"BEANS, DRY EDIBLE, NON-IRRIGATED",0,,0.346,LB / ACRE,$ / LB
16013,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",1367,1.68,171.63,TONS / ACRE,$ / TON
06011,"HAY, ALFALFA, IRRIGATED",7801,7.27,189.00,TONS / ACRE,$ / TON
30073,"BARLEY, IRRIGATED",24651,73.63,5.28,BU / ACRE,$ / BU
06045,"HAYLAGE, (EXCL ALFALFA), NON-IRRIGATED",767,7.05,29.626,TONS / ACRE,$ / TON
06047,"BEANS, DRY EDIBLE, NON-IRRIGATED",0,2189.33,0.549,LB / ACRE,$ / LB
16045,"HAYLAGE, ALFALFA",580,4.81,34.876,TONS / ACRE,$ / TON
41025,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",21868,1.47,189.38,TONS / ACRE,$ / TON
53007,POTATOES,2,630.25,7.45,CWT / ACRE,$ / CWT
41033,POTATOES,6,561.25,8.11,CWT / ACRE,$ / CWT
30035,"HAY, ALFALFA, NON-IRRIGATED",22259,1.09,110.50,TONS / ACRE,$ / TON
41061,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",3344,1.89,189.38,TONS / ACRE,$ / TON
41027,POTATOES,4,689.83,8.11,CWT / ACRE,$ / CWT
06077,"BEANS, DRY EDIBLE, IRRIGATED",6840,2329.00,0.549,LB / ACRE,$ / LB
