commodity,location,year,reported,irrigated_acres,total_acres,total_production,unit
"LEGUMES, CLOVER, RED, SEED",41043,1997,f,,119,,
"LEGUMES, CLOVER, RED, SEED",41043,1997,t,,119,,
"LEGUMES, CLOVER, WHITE",41043,1997,f,,1470,,
"LEGUMES, CLOVER, WHITE, SEED",41043,1997,t,,1470,,
"LEGUMES, CLOVER, WHITE, SEED",41043,1997,f,,1470,,
MELONS,41043,1997,f,,3,,
"MELONS, CANTALOUP",41043,1997,t,,3,,
"MELONS, CANTALOUP",41043,1997,f,,3,,
MINT,41043,1997,f,4200,4200,,
"MINT, OIL",41043,1997,t,4200,4200,,
"MINT, OIL",41043,1997,f,4200,4200,,
NURSERY TOTALS,41043,1997,f,,156,,
"NURSERY TOTALS, IN THE OPEN",41043,1997,t,,156,,
"NURSERY TOTALS, IN THE OPEN",41043,1997,f,,156,,
OATS,41043,1997,t,,1439,,
OATS,41043,1997,f,,1439,,
ONIONS,41043,1997,f,,1,,
"ONIONS, DRY",41043,1997,t,,1,,
"ONIONS, DRY",41043,1997,f,,1,,
PUMPKINS,41043,1997,t,,17,,
PUMPKINS,41043,1997,f,,17,,
RASPBERRIES,41043,1997,t,,393,,
RASPBERRIES,41043,1997,f,,393,,
SQUASH,41043,1997,t,,513,,
SQUASH,41043,1997,f,,513,,
STRAWBERRIES,41043,1997,t,,65,,
STRAWBERRIES,41043,1997,f,,65,,
SUGARBEETS,41043,1997,f,296,296,,
"SUGARBEETS, SEED",41043,1997,t,296,296,,
"SUGARBEETS, SEED",41043,1997,f,296,296,,
SWEET CORN,41043,1997,t,,5871,,
SWEET CORN,41043,1997,f,,5871,,
TOMATOES,41043,1997,f,,7,,
"TOMATOES, IN THE OPEN",41043,1997,f,,7,,
"TOMATOES, IN THE OPEN",41043,1997,t,,7,,
"VEGETABLES, OTHER",41043,1997,f,,67,,
"VEGETABLES, OTHER, VEGETABLES",41043,1997,f,,67,,
"VEGETABLES, OTHER, VEGETABLES, OTHER",41043,1997,f,,67,,
"VEGETABLES, OTHER, VEGETABLES, OTHER",41043,1997,t,,67,,
VEGETABLE TOTALS,41043,1997,f,10073,10225,,
"VEGETABLE TOTALS, IN THE OPEN",41043,1997,t,10073,10225,,
"VEGETABLE TOTALS, IN THE OPEN",41043,1997,f,10073,10225,,
WHEAT,41043,1997,t,658,5638,,
WHEAT,41043,1997,f,658,6284,,
"WHEAT, SPRING",41043,1997,f,,646,,
"WHEAT, SPRING, (EXCL DURUM)",41043,1997,t,,646,,
"WHEAT, SPRING, (EXCL DURUM)",41043,1997,f,,646,,
ASPARAGUS,41045,1997,t,,268,,
ASPARAGUS,41045,1997,f,,268,,
BARLEY,41045,1997,f,4520,4728,,
BARLEY,41045,1997,t,4520,4728,,
BEANS,41045,1997,f,6316,6316,,
"BEANS, DRY EDIBLE",41045,1997,f,6316,6316,,
"BEANS, DRY EDIBLE, (EXCL LIMA)",41045,1997,f,6316,6316,,
"BEANS, DRY EDIBLE, (EXCL LIMA)",41045,1997,t,6316,6316,,
CORN,41045,1997,f,16544,16634,,
"CORN, GRAIN",41045,1997,f,10726,10816,,
"CORN, GRAIN",41045,1997,t,10726,10816,,
"CORN, SILAGE",41045,1997,f,5818,5818,,
"CORN, SILAGE",41045,1997,t,5818,5818,,
GRASSES & LEGUMES TOTALS,41045,1997,f,9005,9090,,
"GRASSES & LEGUMES TOTALS, SEED",41045,1997,t,9005,9090,,
"GRASSES & LEGUMES TOTALS, SEED",41045,1997,f,9005,9090,,
HAY,41045,1997,f,82270,92780,,
"HAY, ALFALFA",41045,1997,t,49898,51228,,
"HAY, ALFALFA",41045,1997,f,49898,51228,,
HAYLAGE,41045,1997,f,2644,2644,,
HAYLAGE,41045,1997,t,2644,2644,,
"HAY, SMALL GRAIN",41045,1997,t,3487,3635,,
"HAY, SMALL GRAIN",41045,1997,f,3487,3635,,
"HAY, TAME",41045,1997,f,7205,7483,,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",41045,1997,f,7205,7483,,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",41045,1997,t,7205,7483,,
"HAY, WILD",41045,1997,f,21680,30434,,
"HAY, WILD",41045,1997,t,21680,30434,,
HORTICULTURE TOTALS,41045,1997,f,706,706,,
"HORTICULTURE TOTALS, (EXCL CUT TREES)",41045,1997,f,706,706,,
"HORTICULTURE TOTALS, (EXCL CUT TREES), IN THE OPEN",41045,1997,t,706,706,,
"HORTICULTURE TOTALS, (EXCL CUT TREES), IN THE OPEN",41045,1997,f,706,706,,
LEGUMES,41045,1997,f,8782,8856,,
"LEGUMES, ALFALFA",41045,1997,f,7936,8010,,
"LEGUMES, ALFALFA, SEED",41045,1997,t,7936,8010,,
"LEGUMES, ALFALFA, SEED",41045,1997,f,7936,8010,,
"LEGUMES, CLOVER",41045,1997,f,846,846,,
"LEGUMES, CLOVER, CRIMSON",41045,1997,f,122,122,,
"LEGUMES, CLOVER, CRIMSON, SEED",41045,1997,f,122,122,,
"LEGUMES, CLOVER, CRIMSON, SEED",41045,1997,t,122,122,,
"LEGUMES, CLOVER, RED",41045,1997,f,724,724,,
"LEGUMES, CLOVER, RED, SEED",41045,1997,f,724,724,,
"LEGUMES, CLOVER, RED, SEED",41045,1997,t,724,724,,
MELONS,41045,1997,f,,6,,
"MELONS, CANTALOUP",41045,1997,t,,4,,
"MELONS, CANTALOUP",41045,1997,f,,4,,
"MELONS, WATERMELON",41045,1997,t,,2,,
"MELONS, WATERMELON",41045,1997,f,,2,,
MINT,41045,1997,f,2623,2623,,
"MINT, OIL",41045,1997,t,2623,2623,,
"MINT, OIL",41045,1997,f,2623,2623,,
OATS,41045,1997,t,330,453,,
OATS,41045,1997,f,330,453,,
ONIONS,41045,1997,f,,13284,,
"ONIONS, DRY",41045,1997,t,,13284,,
"ONIONS, DRY",41045,1997,f,,13284,,
PEAS,41045,1997,f,392,392,,
"PEAS, DRY EDIBLE",41045,1997,t,392,392,,
"PEAS, DRY EDIBLE",41045,1997,f,392,392,,
POTATOES,41045,1997,t,10716,10800,,
POTATOES,41045,1997,f,10716,10800,,
SUGARBEETS,41045,1997,t,10481,10481,,
SUGARBEETS,41045,1997,f,10481,10481,,
SWEET CORN,41045,1997,t,,746,,
SWEET CORN,41045,1997,f,,746,,
VEGETABLE TOTALS,41045,1997,f,14842,14842,,
"VEGETABLE TOTALS, IN THE OPEN",41045,1997,t,14842,14842,,
"VEGETABLE TOTALS, IN THE OPEN",41045,1997,f,14842,14842,,
WHEAT,41045,1997,t,41309,44575,,
WHEAT,41045,1997,f,45583,49040,,
"WHEAT, SPRING",41045,1997,f,4274,4465,,
"WHEAT, SPRING, (EXCL DURUM)",41045,1997,t,4274,4465,,
"WHEAT, SPRING, (EXCL DURUM)",41045,1997,f,4274,4465,,
BARLEY,41047,1997,t,,141,,
BARLEY,41047,1997,f,,141,,
BEANS,41047,1997,f,,12487,,
"BEANS, SNAP",41047,1997,t,,12487,,
"BEANS, SNAP",41047,1997,f,,12487,,
BEDDING PLANT TOTALS,41047,1997,f,,101,,
"BEDDING PLANT TOTALS, IN THE OPEN",41047,1997,t,,101,,
"BEDDING PLANT TOTALS, IN THE OPEN",41047,1997,f,,101,,
BEETS,41047,1997,t,,184,,
BEETS,41047,1997,f,,184,,
"BERRIES, OTHER",41047,1997,f,,220,,
"BERRIES, OTHER, BERRIES",41047,1997,f,,220,,
"BERRIES, OTHER, BERRIES, OTHER",41047,1997,t,,220,,
"BERRIES, OTHER, BERRIES, OTHER",41047,1997,f,,220,,
BLACKBERRIES,41047,1997,f,,3233,,
"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES",41047,1997,t,,3233,,
"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES",41047,1997,f,,3233,,
BLUEBERRIES,41047,1997,f,,559,,
"BLUEBERRIES, TAME",41047,1997,t,,559,,
"BLUEBERRIES, TAME",41047,1997,f,,559,,
BOYSENBERRIES,41047,1997,t,,726,,
BOYSENBERRIES,41047,1997,f,,726,,
BROCCOLI,41047,1997,t,,2578,,
BROCCOLI,41047,1997,f,,2578,,
BULBS & CORMS & RHIZOMES & TUBERS,41047,1997,f,,538,,
"BULBS & CORMS & RHIZOMES & TUBERS, DRY",41047,1997,f,,538,,
"BULBS & CORMS & RHIZOMES & TUBERS, DRY, IN THE OPEN",41047,1997,f,,538,,
"BULBS & CORMS & RHIZOMES & TUBERS, DRY, IN THE OPEN",41047,1997,t,,538,,
CABBAGE,41047,1997,f,,157,,
"CABBAGE, HEAD",41047,1997,t,,157,,
"CABBAGE, HEAD",41047,1997,f,,157,,
CARROTS,41047,1997,t,,107,,
CARROTS,41047,1997,f,,107,,
CAULIFLOWER,41047,1997,t,,1595,,
CAULIFLOWER,41047,1997,f,,1595,,
CELERY,41047,1997,t,,32,,
CELERY,41047,1997,f,,32,,
CORN,41047,1997,f,2262,2304,,
"CORN, GRAIN",41047,1997,t,16,16,,
"CORN, GRAIN",41047,1997,f,16,16,,
"CORN, SILAGE",41047,1997,t,2246,2288,,
"CORN, SILAGE",41047,1997,f,2246,2288,,
CUCUMBERS,41047,1997,t,,1058,,
CUCUMBERS,41047,1997,f,,1058,,
CUT FLOWERS & CUT CULTIVATED GREENS,41047,1997,f,,158,,
"CUT FLOWERS & CUT CULTIVATED GREENS, IN THE OPEN",41047,1997,t,,158,,
"CUT FLOWERS & CUT CULTIVATED GREENS, IN THE OPEN",41047,1997,f,,158,,
"FIELD CROPS, OTHER",41047,1997,f,175,351,,
"FIELD CROPS, OTHER, FIELD CROPS",41047,1997,f,175,351,,
"FIELD CROPS, OTHER, FIELD CROPS, OTHER",41047,1997,f,175,351,,
"FIELD CROPS, OTHER, FIELD CROPS, OTHER",41047,1997,t,175,351,,
FLORICULTURE TOTALS,41047,1997,f,,289,,
"FLORICULTURE TOTALS, IN THE OPEN",41047,1997,t,,289,,
"FLORICULTURE TOTALS, IN THE OPEN",41047,1997,f,,289,,
"FLOWERING PLANTS, POTTED",41047,1997,f,,2,,
"FLOWERING PLANTS, POTTED, FLOWERING PLANTS",41047,1997,f,,2,,
"FLOWERING PLANTS, POTTED, FLOWERING PLANTS, POTTED",41047,1997,f,,2,,
"FLOWERING PLANTS, POTTED, FLOWERING PLANTS, POTTED, INDOOR USE",41047,1997,f,,2,,
"FLOWERING PLANTS, POTTED, FLOWERING PLANTS, POTTED, INDOOR USE, IN THE OPEN",41047,1997,t,,2,,
"FLOWERING PLANTS, POTTED, FLOWERING PLANTS, POTTED, INDOOR USE, IN THE OPEN",41047,1997,f,,2,,
FOLIAGE PLANTS,41047,1997,f,,28,,
"FOLIAGE PLANTS, INDOOR USE",41047,1997,f,,28,,
"FOLIAGE PLANTS, INDOOR USE, IN THE OPEN",41047,1997,t,,28,,
"FOLIAGE PLANTS, INDOOR USE, IN THE OPEN",41047,1997,f,,28,,
GARLIC,41047,1997,t,,556,,
GARLIC,41047,1997,f,,556,,
GRASSES,41047,1997,f,8884,101187,,
"GRASSES, BENTGRASS",41047,1997,f,3343,7402,,
"GRASSES, BENTGRASS, SEED",41047,1997,t,3343,7402,,
"GRASSES, BENTGRASS, SEED",41047,1997,f,3343,7402,,
"GRASSES, BLUEGRASS",41047,1997,f,38,584,,
"GRASSES, BLUEGRASS, KENTUCKY",41047,1997,f,38,584,,
"GRASSES, BLUEGRASS, KENTUCKY, SEED",41047,1997,f,38,584,,
"GRASSES, BLUEGRASS, KENTUCKY, SEED",41047,1997,t,38,584,,
"GRASSES, FESCUE",41047,1997,f,1558,32101,,
"GRASSES, FESCUE, SEED",41047,1997,t,1558,32101,,
"GRASSES, FESCUE, SEED",41047,1997,f,1558,32101,,
"GRASSES & LEGUMES, OTHER",41047,1997,f,,448,,
"GRASSES & LEGUMES, OTHER, GRASSES & LEGUMES",41047,1997,f,,448,,
"GRASSES & LEGUMES, OTHER, GRASSES & LEGUMES, OTHER",41047,1997,f,,448,,
"GRASSES & LEGUMES, OTHER, GRASSES & LEGUMES, OTHER, SEED",41047,1997,t,,448,,
"GRASSES & LEGUMES, OTHER, GRASSES & LEGUMES, OTHER, SEED",41047,1997,f,,448,,
GRASSES & LEGUMES TOTALS,41047,1997,f,9258,102328,,
"GRASSES & LEGUMES TOTALS, SEED",41047,1997,f,9258,102328,,
"GRASSES & LEGUMES TOTALS, SEED",41047,1997,t,9258,102328,,
"GRASSES, ORCHARDGRASS",41047,1997,f,,1061,,
"GRASSES, ORCHARDGRASS, SEED",41047,1997,t,,1061,,
"GRASSES, ORCHARDGRASS, SEED",41047,1997,f,,1061,,
"GRASSES, RYEGRASS",41047,1997,f,3945,60039,,
"GRASSES, RYEGRASS, SEED",41047,1997,f,3945,60039,,
"GRASSES, RYEGRASS, SEED",41047,1997,t,3945,60039,,
HAY,41047,1997,f,3102,15382,,
"HAY, ALFALFA",41047,1997,t,899,1461,,
"HAY, ALFALFA",41047,1997,f,899,1461,,
HAYLAGE,41047,1997,t,1690,2791,,
HAYLAGE,41047,1997,f,1690,2791,,
"HAY, SMALL GRAIN",41047,1997,t,371,1323,,
"HAY, SMALL GRAIN",41047,1997,f,371,1323,,
"HAY, TAME",41047,1997,f,1615,10455,,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",41047,1997,f,1615,10455,,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",41047,1997,t,1615,10455,,
"HAY, WILD",41047,1997,f,217,2143,,
"HAY, WILD",41047,1997,t,217,2143,,
HERBS,41047,1997,f,,10,,
"HERBS, FRESH CUT",41047,1997,t,,10,,
"HERBS, FRESH CUT",41047,1997,f,,10,,
HOPS,41047,1997,t,7407,7407,,
HOPS,41047,1997,f,7407,7407,,
HORTICULTURE TOTALS,41047,1997,f,13136,13136,,
"HORTICULTURE TOTALS, (EXCL CUT TREES)",41047,1997,f,13136,13136,,
"HORTICULTURE TOTALS, (EXCL CUT TREES), IN THE OPEN",41047,1997,t,13136,13136,,
"HORTICULTURE TOTALS, (EXCL CUT TREES), IN THE OPEN",41047,1997,f,13136,13136,,
LEGUMES,41047,1997,f,279,557,,
"LEGUMES, CLOVER",41047,1997,f,279,557,,
"LEGUMES, CLOVER, RED",41047,1997,f,279,557,,
"LEGUMES, CLOVER, RED, SEED",41047,1997,t,279,557,,
"LEGUMES, CLOVER, RED, SEED",41047,1997,f,279,557,,
LOGANBERRIES,41047,1997,t,,31,,
LOGANBERRIES,41047,1997,f,,31,,
MELONS,41047,1997,f,,2,,
"MELONS, WATERMELON",41047,1997,f,,2,,
"MELONS, WATERMELON",41047,1997,t,,2,,
MINT,41047,1997,f,4106,4106,,
"MINT, OIL",41047,1997,t,4106,4106,,
"MINT, OIL",41047,1997,f,4106,4106,,
NURSERY TOTALS,41047,1997,f,,7166,,
"NURSERY TOTALS, IN THE OPEN",41047,1997,f,,7166,,
"NURSERY TOTALS, IN THE OPEN",41047,1997,t,,7166,,
OATS,41047,1997,t,113,2644,,
OATS,41047,1997,f,113,2644,,
ONIONS,41047,1997,f,,2113,,
"ONIONS, DRY",41047,1997,f,,2113,,
"ONIONS, DRY",41047,1997,t,,2113,,
PEAS,41047,1997,f,,717,,
"PEAS, GREEN",41047,1997,f,,717,,
"PEAS, GREEN, (EXCL SOUTHERN)",41047,1997,t,,717,,
"PEAS, GREEN, (EXCL SOUTHERN)",41047,1997,f,,717,,
PUMPKINS,41047,1997,f,,290,,
PUMPKINS,41047,1997,t,,290,,
RASPBERRIES,41047,1997,f,,553,,
RASPBERRIES,41047,1997,t,,553,,
SOD,41047,1997,t,,1987,,
SOD,41047,1997,f,,1987,,
SQUASH,41047,1997,t,,1334,,
SQUASH,41047,1997,f,,1334,,
STRAWBERRIES,41047,1997,f,,1917,,
STRAWBERRIES,41047,1997,t,,1917,,
SUGARBEETS,41047,1997,f,940,940,,
"SUGARBEETS, SEED",41047,1997,t,940,940,,
"SUGARBEETS, SEED",41047,1997,f,940,940,,
SWEET CORN,41047,1997,t,,14921,,
SWEET CORN,41047,1997,f,,14921,,
TOMATOES,41047,1997,f,,19,,
"TOMATOES, IN THE OPEN",41047,1997,t,,19,,
"TOMATOES, IN THE OPEN",41047,1997,f,,19,,
"VEGETABLES, OTHER",41047,1997,f,,7,,
"VEGETABLES, OTHER, VEGETABLES",41047,1997,f,,7,,
"VEGETABLES, OTHER, VEGETABLES, OTHER",41047,1997,t,,7,,
"VEGETABLES, OTHER, VEGETABLES, OTHER",41047,1997,f,,7,,
VEGETABLE TOTALS,41047,1997,f,37894,38636,,
"VEGETABLE TOTALS, IN THE OPEN",41047,1997,f,37894,38636,,
"VEGETABLE TOTALS, IN THE OPEN",41047,1997,t,37894,38636,,
WHEAT,41047,1997,f,2445,12125,,
WHEAT,41047,1997,t,2075,10844,,
"WHEAT, SPRING",41047,1997,f,370,1281,,
"WHEAT, SPRING, (EXCL DURUM)",41047,1997,t,370,1281,,
"WHEAT, SPRING, (EXCL DURUM)",41047,1997,f,370,1281,,
BARLEY,41049,1997,f,,2718,,
BARLEY,41049,1997,t,,2718,,
CORN,41049,1997,f,9338,9338,,
"CORN, GRAIN",41049,1997,t,9338,9338,,
"CORN, GRAIN",41049,1997,f,9338,9338,,
GRASSES,41049,1997,f,814,814,,
"GRASSES, FESCUE",41049,1997,f,814,814,,
"GRASSES, FESCUE, SEED",41049,1997,t,814,814,,
"GRASSES, FESCUE, SEED",41049,1997,f,814,814,,
GRASSES & LEGUMES TOTALS,41049,1997,f,1238,1238,,
"GRASSES & LEGUMES TOTALS, SEED",41049,1997,t,1238,1238,,
"GRASSES & LEGUMES TOTALS, SEED",41049,1997,f,1238,1238,,
HAY,41049,1997,f,23824,24985,,
"HAY, ALFALFA",41049,1997,t,21769,22248,,
"HAY, ALFALFA",41049,1997,f,21769,22248,,
"HAY, SMALL GRAIN",41049,1997,t,390,684,,
"HAY, SMALL GRAIN",41049,1997,f,390,684,,
"HAY, TAME",41049,1997,f,1665,2053,,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",41049,1997,t,1665,2053,,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",41049,1997,f,1665,2053,,
MUSTARD,41049,1997,f,,710,,
"MUSTARD, SEED",41049,1997,f,,710,,
"MUSTARD, SEED",41049,1997,t,,710,,
ONIONS,41049,1997,f,,1284,,
"ONIONS, DRY",41049,1997,t,,1284,,
"ONIONS, DRY",41049,1997,f,,1284,,
PEAS,41049,1997,f,,729,,
"PEAS, GREEN",41049,1997,f,,729,,
"PEAS, GREEN, (EXCL SOUTHERN)",41049,1997,f,,729,,
"PEAS, GREEN, (EXCL SOUTHERN)",41049,1997,t,,729,,
POTATOES,41049,1997,f,17030,17030,,
POTATOES,41049,1997,t,17030,17030,,
SWEET CORN,41049,1997,f,,3720,,
SWEET CORN,41049,1997,t,,3720,,
VEGETABLE TOTALS,41049,1997,f,5830,6080,,
"VEGETABLE TOTALS, IN THE OPEN",41049,1997,t,5830,6080,,
"VEGETABLE TOTALS, IN THE OPEN",41049,1997,f,5830,6080,,
WHEAT,41049,1997,t,18012,182040,,
WHEAT,41049,1997,f,19645,216612,,
"WHEAT, SPRING",41049,1997,f,1633,34572,,
"WHEAT, SPRING, (EXCL DURUM)",41049,1997,f,1633,34572,,
"WHEAT, SPRING, (EXCL DURUM)",41049,1997,t,1633,34572,,
BEANS,41051,1997,f,,77,,
"BEANS, SNAP",41051,1997,t,,77,,
"BEANS, SNAP",41051,1997,f,,77,,
BEETS,41051,1997,f,,21,,
BEETS,41051,1997,t,,21,,
BLACKBERRIES,41051,1997,f,,65,,
"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES",41051,1997,t,,65,,
"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES",41051,1997,f,,65,,
BLUEBERRIES,41051,1997,f,,64,,
"BLUEBERRIES, TAME",41051,1997,t,,64,,
"BLUEBERRIES, TAME",41051,1997,f,,64,,
BOYSENBERRIES,41051,1997,t,,8,,
BOYSENBERRIES,41051,1997,f,,8,,
BROCCOLI,41051,1997,t,,32,,
BROCCOLI,41051,1997,f,,32,,
CABBAGE,41051,1997,f,,459,,
"CABBAGE, HEAD",41051,1997,f,,459,,
"CABBAGE, HEAD",41051,1997,t,,459,,
CAULIFLOWER,41051,1997,f,,55,,
CAULIFLOWER,41051,1997,t,,55,,
CORN,41051,1997,f,,193,,
"CORN, SILAGE",41051,1997,t,,193,,
"CORN, SILAGE",41051,1997,f,,193,,
CUCUMBERS,41051,1997,t,,297,,
CUCUMBERS,41051,1997,f,,297,,
CUT FLOWERS & CUT CULTIVATED GREENS,41051,1997,f,,34,,
"CUT FLOWERS & CUT CULTIVATED GREENS, IN THE OPEN",41051,1997,t,,34,,
"CUT FLOWERS & CUT CULTIVATED GREENS, IN THE OPEN",41051,1997,f,,34,,
FLORICULTURE TOTALS,41051,1997,f,,41,,
"FLORICULTURE TOTALS, IN THE OPEN",41051,1997,t,,41,,
"FLORICULTURE TOTALS, IN THE OPEN",41051,1997,f,,41,,
GREENS,41051,1997,f,,13,,
"GREENS, MUSTARD",41051,1997,t,,13,,
"GREENS, MUSTARD",41051,1997,f,,13,,
HAY,41051,1997,f,102,2948,,
"HAY, ALFALFA",41051,1997,t,,374,,
"HAY, ALFALFA",41051,1997,f,,374,,
HAYLAGE,41051,1997,t,,266,,
HAYLAGE,41051,1997,f,,266,,
"HAY, SMALL GRAIN",41051,1997,t,,200,,
"HAY, SMALL GRAIN",41051,1997,f,,200,,
"HAY, TAME",41051,1997,f,102,1390,,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",41051,1997,t,102,1390,,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",41051,1997,f,102,1390,,
"HAY, WILD",41051,1997,t,,984,,
"HAY, WILD",41051,1997,f,,984,,
HERBS,41051,1997,f,,18,,
"HERBS, FRESH CUT",41051,1997,f,,18,,
"HERBS, FRESH CUT",41051,1997,t,,18,,
HORTICULTURE TOTALS,41051,1997,f,1800,1800,,
"HORTICULTURE TOTALS, (EXCL CUT TREES)",41051,1997,f,1800,1800,,
"HORTICULTURE TOTALS, (EXCL CUT TREES), IN THE OPEN",41051,1997,f,1800,1800,,
"HORTICULTURE TOTALS, (EXCL CUT TREES), IN THE OPEN",41051,1997,t,1800,1800,,
LETTUCE,41051,1997,t,,62,,
LETTUCE,41051,1997,f,,62,,
NURSERY TOTALS,41051,1997,f,,2674,,
"NURSERY TOTALS, IN THE OPEN",41051,1997,f,,2674,,
"NURSERY TOTALS, IN THE OPEN",41051,1997,t,,2674,,
OATS,41051,1997,t,,50,,
OATS,41051,1997,f,,50,,
PEAS,41051,1997,f,,616,,
"PEAS, GREEN",41051,1997,f,,616,,
"PEAS, GREEN, (EXCL SOUTHERN)",41051,1997,t,,616,,
"PEAS, GREEN, (EXCL SOUTHERN)",41051,1997,f,,616,,
POTATOES,41051,1997,t,336,336,,
POTATOES,41051,1997,f,336,336,,
PUMPKINS,41051,1997,f,,417,,
PUMPKINS,41051,1997,t,,417,,
RASPBERRIES,41051,1997,t,,762,,
RASPBERRIES,41051,1997,f,,762,,
SQUASH,41051,1997,t,,163,,
SQUASH,41051,1997,f,,163,,
STRAWBERRIES,41051,1997,t,,171,,
STRAWBERRIES,41051,1997,f,,171,,
SWEET CORN,41051,1997,t,,1137,,
SWEET CORN,41051,1997,f,,1137,,
TOMATOES,41051,1997,f,,20,,
"TOMATOES, IN THE OPEN",41051,1997,t,,20,,
"TOMATOES, IN THE OPEN",41051,1997,f,,20,,
"VEGETABLES, OTHER",41051,1997,f,,96,,
"VEGETABLES, OTHER, VEGETABLES",41051,1997,f,,96,,
"VEGETABLES, OTHER, VEGETABLES, OTHER",41051,1997,t,,96,,
"VEGETABLES, OTHER, VEGETABLES, OTHER",41051,1997,f,,96,,
VEGETABLE TOTALS,41051,1997,f,3921,4679,,
"VEGETABLE TOTALS, IN THE OPEN",41051,1997,t,3921,4679,,
"VEGETABLE TOTALS, IN THE OPEN",41051,1997,f,3921,4679,,
WHEAT,41051,1997,t,412,1638,,
WHEAT,41051,1997,f,412,2497,,
"WHEAT, SPRING",41051,1997,f,,859,,
"WHEAT, SPRING, (EXCL DURUM)",41051,1997,t,,859,,
"WHEAT, SPRING, (EXCL DURUM)",41051,1997,f,,859,,
BARLEY,41053,1997,t,,379,,
BARLEY,41053,1997,f,,379,,
BEANS,41053,1997,f,,598,,
"BEANS, SNAP",41053,1997,f,,598,,
"BEANS, SNAP",41053,1997,t,,598,,
BEDDING PLANT TOTALS,41053,1997,f,,12,,
"BEDDING PLANT TOTALS, IN THE OPEN",41053,1997,f,,12,,
"BEDDING PLANT TOTALS, IN THE OPEN",41053,1997,t,,12,,
BEETS,41053,1997,f,,2,,
BEETS,41053,1997,t,,2,,
BERRY TOTALS,41053,1997,f,,410,,
BERRY TOTALS,41053,1997,t,,410,,
BLACKBERRIES,41053,1997,f,,157,,
"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES",41053,1997,t,,157,,
"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES",41053,1997,f,,157,,
BLUEBERRIES,41053,1997,f,,21,,
"BLUEBERRIES, TAME",41053,1997,t,,21,,
"BLUEBERRIES, TAME",41053,1997,f,,21,,
CORN,41053,1997,f,1437,1537,,
"CORN, SILAGE",41053,1997,t,1437,1537,,
"CORN, SILAGE",41053,1997,f,1437,1537,,
CUT FLOWERS & CUT CULTIVATED GREENS,41053,1997,f,,5,,
"CUT FLOWERS & CUT CULTIVATED GREENS, IN THE OPEN",41053,1997,f,,5,,
"CUT FLOWERS & CUT CULTIVATED GREENS, IN THE OPEN",41053,1997,t,,5,,
FLORICULTURE TOTALS,41053,1997,f,,16,,
"FLORICULTURE TOTALS, IN THE OPEN",41053,1997,f,,16,,
"FLORICULTURE TOTALS, IN THE OPEN",41053,1997,t,,16,,
GARLIC,41053,1997,f,,7,,
GARLIC,41053,1997,t,,7,,
GRASSES,41053,1997,f,1349,52311,,
"GRASSES, FESCUE",41053,1997,f,,21791,,
"GRASSES, FESCUE, SEED",41053,1997,t,,21791,,
"GRASSES, FESCUE, SEED",41053,1997,f,,21791,,
GRASSES & LEGUMES TOTALS,41053,1997,f,2008,54524,,
"GRASSES & LEGUMES TOTALS, SEED",41053,1997,f,2008,54524,,
"GRASSES & LEGUMES TOTALS, SEED",41053,1997,t,2008,54524,,
"GRASSES, ORCHARDGRASS",41053,1997,f,,5586,,
"GRASSES, ORCHARDGRASS, SEED",41053,1997,t,,5586,,
"GRASSES, ORCHARDGRASS, SEED",41053,1997,f,,5586,,
"GRASSES, RYEGRASS",41053,1997,f,1349,24934,,
"GRASSES, RYEGRASS, SEED",41053,1997,t,1349,24934,,
"GRASSES, RYEGRASS, SEED",41053,1997,f,1349,24934,,
HAY,41053,1997,f,653,18328,,
"HAY, ALFALFA",41053,1997,t,190,789,,
"HAY, ALFALFA",41053,1997,f,190,789,,
HAYLAGE,41053,1997,t,1086,3056,,
HAYLAGE,41053,1997,f,1086,3056,,
"HAY, SMALL GRAIN",41053,1997,t,,3007,,
"HAY, SMALL GRAIN",41053,1997,f,,3007,,
"HAY, TAME",41053,1997,f,463,12982,,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",41053,1997,t,463,12982,,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",41053,1997,f,463,12982,,
"HAY, WILD",41053,1997,t,,1550,,
"HAY, WILD",41053,1997,f,,1550,,
HORTICULTURE TOTALS,41053,1997,f,1338,1338,,
"HORTICULTURE TOTALS, (EXCL CUT TREES)",41053,1997,f,1338,1338,,
"HORTICULTURE TOTALS, (EXCL CUT TREES), IN THE OPEN",41053,1997,t,1338,1338,,
